stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
stop_2547_359302,2148-02,"Bibice Na Czekaj","02",50.132835833,19.966800277,,,0,,,
stop_2547_359303,2148-03,"Bibice Na Czekaj","03",50.132688055,19.965553611,,,0,,,
stop_1306_296101,2177-01,"Bibice Rynek","01",50.126606944,19.953480833,,,0,,,
stop_1306_296102,2177-02,"Bibice Rynek","02",50.126185000,19.953912777,,,0,,,
stop_197_26201,311-01,"Bielany Klasztor","01",50.043476944,19.830928333,,,0,,,
stop_197_26202,311-02,"Bielany Klasztor","02",50.043317777,19.831234444,,,0,,,
stop_1563_310201,314-01,"Bielany Obwodnica","01",50.043324444,19.808182500,,,0,,,
stop_1563_310202,314-02,"Bielany Obwodnica","02",50.041869444,19.811845000,,,0,,,
stop_196_26101,312-01,"Bielany Szkoła","01",50.044163888,19.825713055,,,0,,,
stop_196_26102,312-02,"Bielany Szkoła","02",50.044084444,19.827671944,,,0,,,
stop_196_26104,312-04,"Bielany Szkoła","04",50.044517500,19.827430555,,,0,,,
stop_195_26001,313-01,"Bielany","01",50.043325833,19.819836388,,,0,,,
stop_195_26002,313-02,"Bielany","02",50.042980000,19.819320555,,,0,,,
stop_195_26003,313-03,"Bielany","03",50.043294444,19.820682777,,,0,,,
stop_200_26501,316-01,"Bielańska","01",50.036510555,19.825307222,,,0,,,
stop_200_26502,316-02,"Bielańska","02",50.036808888,19.826078888,,,0,,,
stop_203_27201,309-01,"Bielańskie Skały","01",50.044120555,19.850833333,,,0,,,
stop_203_27202,309-02,"Bielańskie Skały","02",50.044081944,19.851430833,,,0,,,
stop_603_86703,117-03,"Bieńczycka","03",50.076454722,20.021581944,,,0,,,
stop_603_86704,117-04,"Bieńczycka","04",50.076308333,20.021982777,,,0,,,
stop_447_63005,646-05,"Bieżanowska","05",50.023535277,19.979099722,,,0,,,
stop_447_63006,646-06,"Bieżanowska","06",50.023906944,19.978963055,,,0,,,
stop_447_63009,646-09,"Bieżanowska","09",50.023366666,19.980460555,,,0,,,
stop_447_63010,646-10,"Bieżanowska","10",50.022797500,19.982073611,,,0,,,
stop_1765_318301,718-01,"Bieżanów Drożdżownia SKA","01",50.011510833,20.036815277,,,0,,,
stop_1765_318302,718-02,"Bieżanów Drożdżownia SKA","02",50.011353333,20.035697500,,,0,,,
stop_1155_272501,710-01,"Bieżanów Granica Miasta","01",50.010843055,20.065115833,,,0,,,
stop_1155_272502,710-02,"Bieżanów Granica Miasta","02",50.009805833,20.064387500,,,0,,,
stop_479_67202,720-02,"Bieżanów Kaim","02",50.008084166,20.045017222,,,0,,,
stop_473_66501,666-01,"Bieżanów Pomnik","01",50.018240833,20.033162222,,,0,,,
stop_473_66502,666-02,"Bieżanów Pomnik","02",50.018372777,20.035145833,,,0,,,
stop_473_66504,666-04,"Bieżanów Pomnik","04",50.017868611,20.034907222,,,0,,,
stop_477_67001,721-01,"Bieżanów Potrzask","01",50.008397500,20.052908055,,,0,,,
stop_477_67002,721-02,"Bieżanów Potrzask","02",50.008320000,20.052832500,,,0,,,
stop_471_66304,664-04,"Bieżanów Szkoła","04",50.018598611,20.024671666,,,0,,,
stop_60_8401,355-01,"Biprostal","01",50.072885833,19.916166666,,,0,,,
stop_60_8402,355-02,"Biprostal","02",50.073080277,19.914918611,,,0,,,
stop_60_8403,355-03,"Biprostal","03",50.073213611,19.914905000,,,0,,,
stop_60_8404,355-04,"Biprostal","04",50.073446388,19.916006111,,,0,,,
stop_60_8405,355-05,"Biprostal","05",50.072443333,19.915158888,,,0,,,
stop_92_12201,841-01,"Biskupa Prandoty","01",50.079110833,19.949920000,,,0,,,
stop_92_12202,841-02,"Biskupa Prandoty","02",50.078017500,19.948652500,,,0,,,
stop_3095_380301,2803-01,"Biskupice Rymarówka","01",49.972433333,20.123949722,,,0,,,
stop_3095_380302,2803-02,"Biskupice Rymarówka","02",49.972701111,20.122697777,,,0,,,
stop_3096_380401,2804-01,"Biskupice Szczygłów","01",49.969010000,20.132820833,,,0,,,
stop_3096_380402,2804-02,"Biskupice Szczygłów","02",49.969376666,20.132441666,,,0,,,
stop_1057_257401,685-01,"Biskupińska","01",50.036304722,20.013541388,,,0,,,
stop_1057_257402,685-02,"Biskupińska","02",50.036190000,20.013769444,,,0,,,
stop_3104_381202,865-02,"Bitschana","02",50.088705833,19.970796944,,,0,,,
stop_1614_46103,109-03,"Blokowa","03",50.085172777,20.074239166,,,0,,,
stop_1614_46104,109-04,"Blokowa","04",50.085883333,20.073827500,,,0,,,
stop_363_50501,226-01,"Błonia Kościelnickie","01",50.084430277,20.166261666,,,0,,,
stop_363_50502,226-02,"Błonia Kościelnickie","02",50.084364166,20.166197500,,,0,,,
stop_1078_259701,629-01,"Bochenka","01",50.010235000,19.971138611,,,0,,,
stop_1078_259702,629-02,"Bochenka","02",50.010002777,19.971241666,,,0,,,
stop_2966_373003,421-03,"Bociana","03",50.095138611,19.954412777,,,0,,,
stop_2966_373004,421-04,"Bociana","04",50.095266944,19.953883055,,,0,,,
stop_2971_373701,491-01,"Bodzowska","01",50.041147222,19.872429166,,,0,,,
stop_2971_373702,491-02,"Bodzowska","02",50.041266666,19.872472777,,,0,,,
stop_2972_373802,909-02,"Bodzów","02",50.038667777,19.867614166,,,0,,,
stop_423_59201,518-01,"Bogucianka","01",50.010293333,19.812025277,,,0,,,
stop_423_59202,518-02,"Bogucianka","02",50.009925277,19.812202222,,,0,,,
stop_895_125801,780-01,"Bojki","01",50.008015277,19.961296388,,,0,,,
stop_895_125802,780-02,"Bojki","02",50.007720000,19.962533333,,,0,,,
stop_2202_341301,2113-01,"Bolechowice Centrum","01",50.147126944,19.791726388,,,0,,,
stop_2202_341302,2113-02,"Bolechowice Centrum","02",50.147339166,19.791310000,,,0,,,
stop_2202_341303,2113-03,"Bolechowice Centrum","03",50.146917777,19.792196666,,,0,,,
stop_2202_341304,2113-04,"Bolechowice Centrum","04",50.146489166,19.792759722,,,0,,,
stop_1269_291701,2112-01,"Bolechowice Drogi","01",50.141760833,19.797127777,,,0,,,
stop_1269_291702,2112-02,"Bolechowice Drogi","02",50.142399166,19.796696111,,,0,,,
stop_1268_291601,2111-01,"Bolechowice Krzewiny","01",50.135125277,19.799213333,,,0,,,
stop_1268_291602,2111-02,"Bolechowice Krzewiny","02",50.135149166,19.799115555,,,0,,,
stop_1271_292001,2339-01,"Bolechowice Zielona Mała","01",50.131875277,19.792063055,,,0,,,
stop_1271_292002,2339-02,"Bolechowice Zielona Mała","02",50.132049722,19.791534722,,,0,,,
stop_1267_291501,2110-01,"Bolechowice Zielona","01",50.127132222,19.803861944,,,0,,,
stop_1267_291502,2110-02,"Bolechowice Zielona","02",50.126988333,19.803668333,,,0,,,
stop_1267_291581,2110-81,"Bolechowice Zielona","81",50.127197500,19.803825833,,,0,,,
stop_1267_291582,2110-82,"Bolechowice Zielona","82",50.126992222,19.803701944,,,0,,,
stop_1867_321001,2379-01,"Boleń Pętla","01",50.128591111,19.983133333,,,0,,,
stop_1045_256101,516-01,"Bolesława Śmiałego","01",50.018346388,19.817353611,,,0,,,
stop_1045_256102,516-02,"Bolesława Śmiałego","02",50.018275000,19.818171944,,,0,,,
stop_892_125501,778-01,"Bonarka","01",50.028766111,19.954010833,,,0,,,
stop_892_125502,778-02,"Bonarka","02",50.029813055,19.953476944,,,0,,,
stop_570_81001,877-01,"Bora-Komorowskiego","01",50.085845555,19.978461111,,,0,,,
stop_570_81002,877-02,"Bora-Komorowskiego","02",50.085769722,19.980613888,,,0,,,
stop_530_74702,562-02,"Borek Fałęcki","02",50.011703055,19.927578611,,,0,,,
stop_530_74703,562-03,"Borek Fałęcki","03",50.011908333,19.927332222,,,0,,,
stop_530_74704,562-04,"Borek Fałęcki","04",50.011290555,19.926720277,,,0,,,
stop_530_74705,562-05,"Borek Fałęcki","05",50.011626666,19.926668611,,,0,,,
stop_2492_353901,2415-01,"Borek Szlachecki Kościół","01",49.964765555,19.770751666,,,0,,,
stop_2492_353902,2415-02,"Borek Szlachecki Kościół","02",49.965116388,19.772286666,,,0,,,
stop_2493_354001,2414-01,"Borek Szlachecki","01",49.965403333,19.776592777,,,0,,,
stop_2493_354002,2414-02,"Borek Szlachecki","02",49.966164722,19.778913055,,,0,,,
stop_536_75301,546-01,"Borkowska","01",50.004634722,19.905784166,,,0,,,
stop_536_75302,546-02,"Borkowska","02",50.004885555,19.905853055,,,0,,,
stop_434_61203,551-03,"Borsucza","03",50.030473888,19.928298611,,,0,,,
stop_434_61204,551-04,"Borsucza","04",50.030313055,19.929234444,,,0,,,
stop_1023_253201,860-01,"Bosaków","01",50.083307222,19.964345555,,,0,,,
stop_1023_253202,860-02,"Bosaków","02",50.082247777,19.963103611,,,0,,,
stop_2866_370601,2377-01,"Bosutów Kościuszki","01",50.123226944,19.993980277,,,0,,,
stop_2866_370602,2377-02,"Bosutów Kościuszki","02",50.123259166,19.994152500,,,0,,,
stop_1180_276901,2678-01,"Bosutów Krakowska","01",50.114495833,19.994670555,,,0,,,
stop_1180_276902,2678-02,"Bosutów Krakowska","02",50.114760555,19.994978611,,,0,,,
stop_3155_383401,687-01,"Botewa","01",50.038140555,20.026209166,,,0,,,
stop_3155_383402,687-02,"Botewa","02",50.037951666,20.028106388,,,0,,,
stop_3155_383404,687-04,"Botewa","04",50.038426388,20.026868888,,,0,,,
stop_2810_368001,219-01,"Brama nr 8","01",50.073579166,20.125923888,,,0,,,
stop_2810_368002,219-02,"Brama nr 8","02",50.073446388,20.126640000,,,0,,,
stop_43_6103,383-03,"Bratysławska","03",50.082727222,19.934650000,,,0,,,
stop_43_6104,383-04,"Bratysławska","04",50.083237500,19.933895555,,,0,,,
stop_43_6105,383-05,"Bratysławska","05",50.084493333,19.933443333,,,0,,,
stop_43_6106,383-06,"Bratysławska","06",50.084061111,19.932053611,,,0,,,
stop_824_116501,771-01,"Brodowicza","01",50.070233888,19.962849166,,,0,,,
stop_824_116502,771-02,"Brodowicza","02",50.069084166,19.961114444,,,0,,,
stop_93_12301,859-01,"Brogi","01",50.079866944,19.961033888,,,0,,,
stop_93_12302,859-02,"Brogi","02",50.079642222,19.959393888,,,0,,,
stop_103_13502,360-02,"Bronowice Małe","02",50.081087500,19.880468333,,,0,,,
stop_103_13503,360-03,"Bronowice Małe","03",50.079528611,19.880244444,,,0,,,
stop_103_13505,360-05,"Bronowice Małe","05",50.081063888,19.880613055,,,0,,,
stop_103_13506,360-06,"Bronowice Małe","06",50.082106944,19.881660277,,,0,,,
stop_103_13507,360-07,"Bronowice Małe","07",50.082202222,19.883498888,,,0,,,
stop_103_13508,360-08,"Bronowice Małe","08",50.082083611,19.883027500,,,0,,,
stop_2309_345903,388-03,"Bronowice SKA","03",50.081287500,19.890906111,,,0,,,
stop_2309_345904,388-04,"Bronowice SKA","04",50.081632500,19.888428333,,,0,,,
stop_2309_345905,388-05,"Bronowice SKA","05",50.081740833,19.888523333,,,0,,,
