stop_name,stop_lat,stop_lon
Czernichów Rynek,49.987158471499995,19.6765690275
Czernichów Stacja Paliw,49.991982221499995,19.6889137495
Czernichów Studzienki,49.9920662495,19.685427638500002
Czernichów Zakamycze,49.993129166,19.666572777
Czerwiakowskiego,50.008302222,20.010038611
Czerwieńskiego,50.083970833,19.902424444
Czerwone Maki P+R,50.017840763500004,19.889471597
Czulice Kościół,50.127033055,20.187995833
Czulice Przymiarki,50.1225202775,20.187340415999998
Czułów Granica,50.059450694,19.711863611
Czułów Sklep,50.0596699995,19.703573472000002
Czułów Szkoła,50.0609815275,19.694103194
Czułówek Kapliczka,50.042299444,19.679867222
Czułówek Skrzyżowanie,50.038957916499996,19.683454722
Czyżyny,50.073984305,20.0118847215
Czyżyny Dworzec,50.075166388,20.015249166
Cło,50.080147083,20.185999583
DH Wanda,50.0845866665,20.020482499499998
Danalówka,50.0279174995,20.039251944
Darwina,50.091055416,20.0599610415
Dauna,50.0189241665,19.977524722
Dobrego Pasterza,50.08885824033333,19.957876110666668
Dojazdów Działki,50.130765694000004,20.107331944000002
Dojazdów Na Górce,50.122564582500004,20.108498194
Dojazdów PKS,50.126976666000004,20.1022472215
Dojazdów Plac św. Stanisława,50.1208374995,20.1130502775
Dojazdów Przedszkole,50.117094861,20.118161249499998
Domagały,50.03276287,20.05198824
Domagały Magazyny,50.028600972,20.051639305000002
Dożynkowa,50.1024948605,19.946021944
Drożdżowa,50.011919444,20.040419444
Drożyska,50.0650959715,20.168263611
Drużbackiej,49.9821876385,19.989312222000002
Dunikowskiego,50.09157055525,20.016339096750002
Duża Góra,50.0180949995,20.0279074995
Dworcowa,50.033070833,19.9703874995
Dworzec Główny Wschód,50.068481666,19.949429166
Dworzec Główny Zachód,50.0680743745,19.944896457749998
Dwór Czeczów,50.015282777,20.040529722
Dziekanowice Batowice SKA,50.10787770825,19.996162013499998
Dziekanowice Długa,50.111911944,20.007274722
Dziekanowice Kapliczka,50.117064444,20.012035
Dziekanowicka,50.103938055,19.991837222
Dąbie,50.060893888500004,19.979504722
Dąbrowa,50.023890555,19.8481451385
Dąbrowa Szlachecka Figurka,49.9959212495,19.743632083
Dąbrowa Szlachecka Krzemiennik,49.999363471500004,19.7391263885
Dąbrowa Szlachecka Krzyż,49.998494444,19.7512526385
Dąbrowskiej,50.078142916000004,20.014651805
Elektromontaż,50.08800999975,20.064622986
Fabryczna,50.061198055000006,19.9705040275
Facimiech Pod Kolebą,49.958846944,19.722500416499997
Fatimska,50.093265277,20.028181944
Filharmonia,50.059127083,19.93302847175
Fiszera,50.085486944,19.896870277
Folwarczna,50.100518611,20.076515555
Fort Bodzów,50.031504861,19.8649088885
Fort Mogiła,50.065203333,20.070630833
Fort Skotniki,50.0066659715,19.870335555
Fort Swoszowice,49.9890336105,19.956113472
Fort Winnica,50.022930972,19.865955972000002
Forteczna,50.0009262495,19.9064512495
Fredry,50.021145555000004,19.9427226385
Friedleina,50.075432222,19.931704166499998
Gaik,50.1087286105,19.878837083
Gaj Kwiatowa,49.957916666,19.913175416
Gaj Rudawa,49.956093333,19.903164166499998
Gaj Szkoła,49.9610663885,19.891048888500002
Gaj Wiadukt,49.9555386105,19.892129027000003
Gaj Zadziele,49.955548332999996,19.8894887495
Gaj Zgody,49.9556286105,19.8970052775
Galicyjska,50.058395833,20.007080971500002
Garlica Duchowna Kapliczka,50.1440274995,19.9249363885
Garlica Duchowna Rozjazd,50.148963054999996,19.9219655555
Garlica Murowana Kasztany,50.134582777,19.922485555
Garlica Murowana Plac Zabaw,50.140923472,19.927449444
Gałczyńskiego,50.06921768466666,20.012700647666666
Geologów,49.985193472,19.978199444
Gerlaha,50.106597777,20.075504166
Giebułtów Kościół,50.141475416000006,19.883770694
Giebułtów Morgi,50.151578888,19.871016666
Giebułtów Osiedle Polana,50.129155833,19.880529444
Giebułtów Plac Zabaw,50.143932777,19.878735276999997
Giebułtów Zbiornik,50.1472540275,19.875439305
Giebułtów Zielone Wzgórze,50.1357459715,19.871425555000002
Giebułtów Świętego Idziego,50.138203472,19.8697049995
Giedroycia,50.063374444,20.0812436105
Giedroycia ZTPO,50.059304026999996,20.0782216665
Giełda Balicka,50.081545972,19.875723194
Glinnik,50.0469123605,19.882920694
Glogera,50.102256388499995,19.9277020825
Glogera Granica Miasta,50.104214721999995,19.9264452775
